user_id,city,visit_date,restaurant_viewed,added_to_cart,order_placed,payment_done,is_cancelled,order_delivered
U10000,Bangalore,10/26/2023,Yes,0,0,0,0,0
U10001,Mumbai,1/8/2023,Yes,1,0,0,0,0
U10002,Hyderabad,2/8/2023,Yes,1,1,1,1,0
U10003,Jaipur,3/1/2023,Yes,1,0,0,0,0
U10004,Delhi,2/1/2023,,0,0,0,0,0
U10005,Jaipur,8/16/2023,,0,0,0,0,0
U10006,Delhi,12/16/2023,Yes,1,0,0,0,0
U10007,Pune,5/19/2023,Yes,1,1,1,0,1
U10008,Kolkata,7/16/2023,Yes,1,0,0,0,0
U10009,Jaipur,6/21/2023,Yes,0,0,0,0,0
U10010,Delhi,3/13/2023,Yes,1,1,1,0,1
U10011,Mumbai,6/30/2023,,0,0,0,0,0
U10012,Pune,10/14/2023,Yes,0,0,0,0,0
U10013,Delhi,8/2/2023,,0,0,0,0,0
U10014,Bangalore,12/15/2023,Yes,1,1,1,1,0
U10015,Pune,6/27/2023,Yes,1,0,0,0,0
U10016,Hyderabad,3/16/2023,Yes,0,0,0,0,0
U10017,Hyderabad,11/9/2023,Yes,1,1,1,1,0
U10018,Pune,8/21/2023,Yes,1,1,1,0,1
U10019,Pune,1/31/2023,Yes,0,0,0,0,0
U10020,Jaipur,5/26/2023,Yes,1,1,1,0,1
U10021,Pune,8/19/2023,Yes,1,1,1,0,1
U10022,Pune,10/21/2023,Yes,1,1,1,0,1
U10023,Bangalore,9/3/2023,Yes,0,0,0,0,0
U10024,Jaipur,1/23/2023,Yes,1,0,0,0,0
U10025,Bangalore,1/24/2023,Yes,1,0,0,0,0
U10026,Pune,3/15/2023,Yes,1,1,1,0,1
U10027,Kolkata,3/14/2023,Yes,1,1,1,0,1
U10028,Kolkata,6/25/2023,Yes,1,1,1,0,1
U10029,Jaipur,2/10/2023,Yes,1,0,0,0,0
U10030,Delhi,7/4/2023,Yes,1,1,1,0,1
U10031,Mumbai,10/25/2023,,0,0,0,0,0
U10032,Pune,8/19/2023,Yes,1,1,1,0,1
U10033,Jaipur,1/11/2023,,0,0,0,0,0
U10034,Bangalore,5/30/2023,Yes,1,1,0,0,1
U10035,Mumbai,2/12/2023,Yes,1,0,0,0,0
U10036,Hyderabad,8/24/2023,Yes,1,1,1,1,0
U10037,Bangalore,1/6/2023,Yes,1,1,1,0,1
U10038,Jaipur,6/28/2023,Yes,1,1,1,0,1
U10039,Jaipur,1/28/2023,Yes,1,1,1,0,1
U10040,Pune,5/11/2023,Yes,0,0,0,0,0
U10041,Chennai,3/6/2023,Yes,1,1,1,0,1
U10042,Mumbai,7/13/2023,Yes,0,0,0,0,0
U10043,Delhi,8/22/2023,Yes,1,1,1,0,1
U10044,Bangalore,11/12/2023,,0,0,0,0,0
U10045,Jaipur,4/5/2023,Yes,1,1,1,0,1
U10046,Jaipur,3/1/2023,Yes,0,0,0,0,0
U10047,Delhi,1/20/2023,,0,0,0,0,0
U10048,Kolkata,10/18/2023,Yes,0,0,0,0,0
U10049,Pune,12/20/2023,Yes,1,1,1,0,1
U10050,Kolkata,4/6/2023,,0,0,0,0,0
U10051,Jaipur,12/29/2023,Yes,0,0,0,0,0
